hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,cbd_congestion_fee
HV0003,B03404,B03404,2025-01-11 14:14:15,2025-01-11 14:16:21,2025-01-11 14:17:55,2025-01-11 14:27:34,107,233,1.22,579,11.87,0.0,0.28,1.06,2.75,0.0,0.0,7.64,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-01-30 09:29:51,2025-01-30 09:31:14,2025-01-30 09:33:15,2025-01-30 09:53:07,87,211,2.37,1192,24.16,0.0,0.66,2.26,2.75,0.0,0.0,14.81,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-01-18 10:10:48,2025-01-18 10:11:30,2025-01-18 10:12:38,2025-01-18 10:19:08,254,254,1.23,390,8.94,0.0,0.25,0.8,0.0,0.0,0.0,5.46,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-27 11:19:33,2025-01-27 11:22:04,2025-01-27 11:22:54,2025-01-27 12:02:16,42,249,8.8,2362,42.8,0.0,1.13,3.8,2.75,0.0,0.0,34.92,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-01-18 14:04:58,2025-01-18 14:10:27,2025-01-18 14:11:17,2025-01-18 14:52:25,124,82,6.78,2468,22.22,0.0,0.61,1.97,0.0,0.0,4.96,33.2,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-19 08:25:49,2025-01-19 08:28:17,2025-01-19 08:29:38,2025-01-19 08:44:55,255,232,3.09,917,16.85,0.0,0.42,1.49,2.75,0.0,0.0,13.11,N,N,N,N,N,1.5
HV0005,B03406,,2025-01-09 22:21:15,,2025-01-09 22:23:19,2025-01-09 22:35:25,223,147,4.269,726,19.26,7.32,0.73,2.36,0.0,0.0,0.0,12.91,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-13 17:54:07,2025-01-13 17:55:59,2025-01-13 17:55:59,2025-01-13 18:04:06,255,256,0.83,487,8.54,0.0,0.23,0.74,0.0,0.0,5.0,5.86,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-16 07:34:32,2025-01-16 07:38:01,2025-01-16 07:38:28,2025-01-16 07:43:16,163,50,0.63,288,4.98,0.0,0.11,0.44,0.75,0.0,0.0,4.01,Y,N,N,N,N,1.5
HV0003,B03404,B03404,2025-01-16 10:29:41,2025-01-16 10:30:39,2025-01-16 10:31:37,2025-01-16 10:49:09,246,144,3.45,1052,46.08,0.0,1.26,4.18,2.75,0.0,0.0,26.1,N,N,N,N,N,1.5
HV0005,B03406,,2025-01-10 22:07:57,,2025-01-10 22:14:25,2025-01-10 22:20:30,242,242,1.305,365,9.9,0.0,0.24,0.78,0.0,0.0,0.0,5.47,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-12 03:35:27,2025-01-12 03:42:40,2025-01-12 03:44:15,2025-01-12 04:10:58,37,71,5.36,1603,17.67,0.0,0.49,1.57,0.0,0.0,0.0,18.67,Y,Y,N,N,N,0.0
HV0003,B03404,B03404,2025-01-26 18:39:35,2025-01-26 18:40:03,2025-01-26 18:40:49,2025-01-26 18:57:51,138,162,8.74,1022,36.52,6.94,1.0,3.94,2.75,2.5,0.0,21.82,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-01-07 21:19:36,2025-01-07 21:20:49,2025-01-07 21:20:58,2025-01-07 21:38:17,170,265,4.79,1039,56.93,16.06,1.62,0.0,0.0,0.0,0.0,29.61,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-01-31 17:37:09,2025-01-31 17:38:40,2025-01-31 17:40:40,2025-01-31 17:51:51,254,32,1.58,671,12.13,0.0,0.33,1.08,0.0,0.0,0.0,8.67,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-11 16:17:05,2025-01-11 16:19:14,2025-01-11 16:21:15,2025-01-11 16:35:08,18,136,1.55,833,12.72,0.0,0.35,1.13,0.0,0.0,0.0,10.21,N,N,N,N,N,0.0
HV0005,B03406,,2025-01-27 21:12:28,,2025-01-27 21:15:02,2025-01-27 21:20:14,76,76,0.577,312,6.54,0.0,0.18,0.58,0.0,0.0,3.54,5.47,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-06 12:34:24,2025-01-06 12:37:35,2025-01-06 12:39:36,2025-01-06 13:14:44,134,234,12.94,2108,57.29,6.94,1.53,5.7,2.75,0.0,0.0,38.08,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-01-13 11:12:04,2025-01-13 11:13:22,2025-01-13 11:13:40,2025-01-13 11:21:56,234,164,1.28,496,13.96,0.0,0.36,1.31,2.75,0.0,0.0,6.69,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-01-04 19:56:35,2025-01-04 19:58:24,2025-01-04 20:00:26,2025-01-04 20:11:13,129,129,0.92,647,10.13,0.0,0.28,0.9,0.0,0.0,0.0,7.55,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-30 10:37:58,2025-01-30 10:40:55,2025-01-30 10:42:55,2025-01-30 10:53:53,98,171,2.56,658,16.06,0.0,0.44,1.43,0.0,0.0,0.0,11.13,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-08 08:44:57,2025-01-08 08:50:39,2025-01-08 08:51:48,2025-01-08 09:18:37,212,69,3.73,1609,25.88,0.0,0.72,2.3,0.0,0.0,0.0,20.9,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-17 01:43:58,2025-01-17 01:47:08,2025-01-17 01:48:30,2025-01-17 02:29:57,221,14,12.21,2487,41.16,0.0,1.13,3.65,0.0,0.0,0.0,43.78,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-06 12:17:03,2025-01-06 12:20:00,2025-01-06 12:20:59,2025-01-06 12:37:52,21,14,2.89,1013,19.35,0.0,0.56,1.83,0.0,0.0,0.0,13.77,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-02 09:29:23,2025-01-02 09:33:43,2025-01-02 09:35:22,2025-01-02 10:20:19,132,249,19.46,2697,79.35,6.94,2.25,7.88,2.75,2.5,10.16,53.35,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-07 12:44:22,2025-01-07 12:44:42,2025-01-07 12:46:14,2025-01-07 12:58:30,230,142,1.22,736,12.61,0.0,0.32,1.19,2.75,0.0,0.0,8.81,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-01-28 03:22:14,2025-01-28 03:24:16,2025-01-28 03:26:10,2025-01-28 03:42:47,159,265,9.63,997,28.99,0.0,0.8,2.57,0.0,0.0,0.0,25.53,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-12 12:11:56,2025-01-12 12:17:29,2025-01-12 12:18:16,2025-01-12 12:44:22,217,26,8.5,1566,20.01,0.0,0.58,1.85,0.0,0.0,0.0,26.78,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-12 12:48:44,2025-01-12 12:52:33,2025-01-12 12:52:54,2025-01-12 12:59:30,17,17,0.85,396,8.93,0.0,0.24,0.79,0.0,0.0,0.0,5.01,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-15 18:46:18,2025-01-15 18:47:41,2025-01-15 18:49:43,2025-01-15 18:58:51,148,249,1.25,548,12.81,0.0,0.33,1.2,2.75,0.0,0.0,7.95,N,N,N,N,Y,1.5
HV0003,B03404,B03404,2025-01-23 22:16:50,2025-01-23 22:20:45,2025-01-23 22:20:52,2025-01-23 22:25:00,36,36,0.58,248,5.33,0.0,0.15,0.47,0.0,0.0,0.0,4.0,Y,N,N,N,N,0.0
HV0005,B03406,,2025-01-17 21:35:34,,2025-01-17 21:38:45,2025-01-17 21:51:22,255,33,4.251,757,16.93,0.0,0.47,1.5,0.0,0.0,1.0,13.18,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-31 20:05:15,2025-01-31 20:07:33,2025-01-31 20:08:57,2025-01-31 20:38:40,129,216,9.72,1783,30.45,0.0,0.84,2.69,0.0,0.0,0.0,30.55,N,N,N,N,N,0.0
HV0005,B03406,,2025-01-27 19:51:42,,2025-01-27 19:54:42,2025-01-27 20:17:19,211,48,3.247,1357,19.43,0.0,0.53,1.72,2.75,0.0,3.0,17.67,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-01-19 20:20:02,2025-01-19 20:25:24,2025-01-19 20:25:33,2025-01-19 20:42:43,223,95,5.59,1030,17.91,0.0,0.5,1.59,0.0,0.0,0.0,17.61,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-10 19:22:01,2025-01-10 19:25:19,2025-01-10 19:25:24,2025-01-10 19:34:27,7,145,1.28,543,10.45,0.0,0.3,0.98,0.0,0.0,1.0,7.24,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-14 15:53:49,2025-01-14 15:59:07,2025-01-14 15:59:26,2025-01-14 16:19:21,100,265,8.05,1195,55.94,16.06,1.49,0.0,0.0,0.0,11.02,27.25,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-01-05 15:12:56,2025-01-05 15:17:48,2025-01-05 15:19:49,2025-01-05 15:56:58,80,68,5.9,2229,31.62,0.0,0.88,2.98,2.75,0.0,0.0,37.11,N,N,N,N,Y,1.5
HV0003,B03404,B03404,2025-01-13 06:38:33,2025-01-13 06:40:53,2025-01-13 06:41:42,2025-01-13 07:03:08,10,77,5.87,1286,22.21,0.0,0.61,1.96,0.0,0.0,0.0,20.47,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-03 18:24:33,2025-01-03 18:26:54,2025-01-03 18:28:56,2025-01-03 18:37:04,158,114,0.75,488,10.48,0.0,0.29,0.93,2.75,0.0,3.0,8.27,N,N,N,N,N,0.0
HV0005,B03406,,2025-01-04 08:30:44,,2025-01-04 08:37:13,2025-01-04 08:55:20,95,42,11.435,1087,34.96,7.13,1.16,3.74,0.0,0.0,5.0,26.21,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-03 10:05:16,2025-01-03 10:07:12,2025-01-03 10:09:09,2025-01-03 10:30:28,85,165,3.83,1279,18.37,0.0,0.51,1.63,0.0,0.0,0.0,18.87,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-16 19:28:39,2025-01-16 19:30:25,2025-01-16 19:30:49,2025-01-16 19:37:01,242,185,0.84,372,7.24,0.0,0.2,0.64,0.0,0.0,0.0,4.75,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-07 12:51:28,2025-01-07 12:51:37,2025-01-07 12:53:38,2025-01-07 13:05:30,174,200,3.99,712,13.37,0.0,0.37,1.2,0.0,0.0,0.0,12.35,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-18 08:53:43,2025-01-18 08:58:43,2025-01-18 08:59:05,2025-01-18 09:02:20,164,170,0.55,195,6.91,0.0,0.14,0.58,2.75,0.0,0.0,3.99,N,N,N,N,N,1.5
HV0005,B03406,,2025-01-13 08:33:33,,2025-01-13 08:44:56,2025-01-13 09:16:08,90,138,12.076,1872,50.41,1.21,1.42,4.8,2.75,2.5,0.0,34.74,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-01-27 07:12:54,2025-01-27 07:18:23,2025-01-27 07:18:50,2025-01-27 07:41:35,107,48,3.11,1365,23.27,0.0,0.64,2.19,2.75,0.0,0.0,17.49,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-01-15 23:48:50,2025-01-15 23:50:17,2025-01-15 23:50:42,2025-01-16 00:15:39,66,95,9.08,1497,49.72,0.0,1.36,4.41,0.0,0.0,5.54,27.27,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-11 09:21:52,2025-01-11 09:28:09,2025-01-11 09:30:09,2025-01-11 10:12:07,206,68,16.99,2518,47.37,6.94,1.33,5.05,2.75,0.0,0.0,54.6,N,N,N,N,Y,1.5
HV0003,B03404,B03404,2025-01-14 05:00:00,2025-01-14 04:55:04,2025-01-14 05:03:03,2025-01-14 05:48:37,66,132,27.59,2734,81.61,0.0,2.46,7.93,0.0,2.5,14.95,65.43,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-25 01:38:45,2025-01-25 01:41:33,2025-01-25 01:41:58,2025-01-25 01:55:18,142,141,2.18,800,13.38,0.0,0.36,1.19,2.75,0.0,0.0,10.73,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-05 11:06:15,2025-01-05 11:10:20,2025-01-05 11:11:06,2025-01-05 11:31:23,92,193,7.81,1217,17.29,0.0,0.48,1.53,0.0,0.0,0.0,23.73,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-22 08:48:03,2025-01-22 08:52:53,2025-01-22 08:53:09,2025-01-22 09:01:40,21,123,1.25,511,11.92,0.0,0.33,1.06,0.0,0.0,0.0,6.67,N,N,N,N,N,0.0
HV0005,B03406,,2025-01-09 08:18:44,,2025-01-09 08:32:13,2025-01-09 08:46:00,35,61,1.527,827,12.05,0.0,0.22,0.72,0.0,0.0,0.0,11.65,N,N,N,N,N,0.0
HV0005,B03406,,2025-01-24 17:53:36,,2025-01-24 17:57:00,2025-01-24 18:05:30,80,112,1.186,510,9.84,0.0,0.27,0.87,0.0,0.0,0.0,7.05,N,N,N,N,Y,0.0
HV0003,B03404,B03404,2025-01-03 12:45:11,2025-01-03 12:47:23,2025-01-03 12:48:03,2025-01-03 12:55:16,254,254,1.24,433,8.93,0.0,0.24,0.8,0.0,0.0,0.0,5.9,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-05 19:44:58,2025-01-05 19:46:25,2025-01-05 19:46:37,2025-01-05 20:13:29,166,242,9.14,1612,27.7,0.0,0.79,2.57,0.0,0.0,0.0,28.1,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-13 20:43:56,2025-01-13 20:45:27,2025-01-13 20:46:25,2025-01-13 21:12:27,17,56,8.07,1562,25.96,0.0,0.71,2.3,0.0,0.0,0.0,26.16,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-11 18:04:24,2025-01-11 18:06:27,2025-01-11 18:08:28,2025-01-11 18:24:24,82,9,4.78,956,19.89,0.0,0.55,1.77,0.0,0.0,0.0,15.8,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-03 21:17:00,2025-01-03 21:17:14,2025-01-03 21:19:15,2025-01-03 21:49:51,261,162,6.36,1836,47.9,0.0,1.32,4.25,2.75,0.0,0.0,28.21,N,N,N,N,N,0.0
HV0005,B03406,,2025-01-21 20:32:59,,2025-01-21 20:35:55,2025-01-21 20:56:00,186,148,2.656,1205,18.12,0.0,0.5,1.61,2.75,0.0,0.0,16.39,N,N,N,N,Y,1.5
